result_0,idxs_0,citations_0,class_0,result_1,idxs_1,citations_1,class_1,result_2,idxs_2,citations_2,class_2,id,enhanced,top_reason,top_order,enh_html_len,e_0,e_1,e_2,e_3,e_4,enh_html_len_cs
"Crizotinib, when combined with vemurafenib, showed rapid and marked effectiveness in treating BRAF-mutated colorectal cancer.",[3],"['with the dual ALK-MET inhibitor crizotinib plus vemurafenib, thus switching to dual MET and BRAF blockade, with rapid and marked effectiveness of such strategy. Although acquired resistance is a major limitation to the clinical efficacy of anticancer']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Crizotinib, when combined with vemurafenib, showed rapid and marked effectiveness in treating BRAF-mutated colorectal cancer."",""source_id"":[3]}]}",clinical trial,[7],['MET-Driven Resistance to Dual EGFR and BRAF Blockade May Be Overcome by Switching from EGFR to MET Inhibition in BRAF-Mutated Colorectal Cancer.'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[7]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",27325282,"{""enhanced_ver"":""Crizotinib, when combined with vemurafenib, showed rapid and marked effectiveness in treating BRAF-mutated colorectal cancer (clinical trial)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly states the observed effectiveness."",""The sentence is specifically about the effectiveness of Crizotinib on BRAF-mutated colorectal cancer."",""The sentence is specific enough for experts, mentioning the treatment combination and study type."",""The sentence offers actionable insights for oncologists regarding a treatment strategy for BRAF-mutated colorectal cancer."",""The study type is a clinical trial, which is assigned the highest priority level.""]}","{""id"":1,""decision"":""YES"",""reasoning"":""Result 1 provides actionable insight on the combination of crizotinib with vemurafenib for BRAF-mutated CRC, which is a novel and specific therapeutic approach with clear clinical trial support.""}",0,165,-1,1,1,1,1,253
Crizotinib exhibits a well-targeted inhibitory effect on c-Met positive tumor cells and is part of a synergistic chemophototherapy strategy for colorectal cancer.,"[1, 2, 6]","['effect of Crizotinib on c-Met positive tumor cells, the dye IR808 was covalently combined with the drug molecule Crizotinib, resulting in the synthesis of a NIR fluorescent probe Crizotinib-IR808 targeting c-Met positive tumor cells. Then, water-insoluble', 'irradiation, Crizotinib-IR808@BSA NPs exhibited synergistic chemophototherapy effects on tumors. In conclusion, this innovative imaging-mediated multifunctional combination therapy strategy with good c-Met targeting ability may provide a new approach for', 'as well as use for noninvasive biomedical vascular NIR-II imaging with intraoperative real-time NIR-II imaging to guide tumor resection. Under 808 nm laser irradiation, Crizotinib-IR808@BSA NPs exhibited synergistic chemophototherapy effects on tumors. In']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Crizotinib exhibits a well-targeted inhibitory effect on c-Met positive tumor cells and is part of a synergistic chemophototherapy strategy for colorectal cancer."",""source_id"":[1,2,6]}]}",in vivo,"[0, 7]","['irradiation, Crizotinib-IR808@BSA NPs exhibited synergistic chemophototherapy effects on tumors. In conclusion, this innovative imaging-mediated multifunctional combination therapy strategy with good c-Met targeting ability may provide a new approach for', 'as well as use for noninvasive biomedical vascular NIR-II imaging with intraoperative real-time NIR-II imaging to guide tumor resection. Under 808 nm laser irradiation, Crizotinib-IR808@BSA NPs exhibited synergistic chemophototherapy effects on tumors. In']","{""fieldresult"":[{""name"":""Type of study"",""value"":""in vivo"",""source_id"":[0,7]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",37418240,"{""enhanced_ver"":""Crizotinib exhibits a well-targeted inhibitory effect on c-Met positive tumor cells and is part of a synergistic chemophototherapy strategy for colorectal cancer (in vivo)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly describes the observed effectiveness."",""The sentence is specifically about the effectiveness of Crizotinib on colorectal cancer."",""The sentence is specific enough for experts, mentioning the mechanism and study type."",""The sentence offers actionable insights for oncologists regarding a preclinical strategy involving Crizotinib."",""The study type is in vivo, which corresponds to priority level 3.""]}",,999,195,-1,1,1,1,3,2693
Crizotinib has been proved to impact LoVo spheroids morphology.,[4],"['We have replaced the TKI nomenclature with crizotinib (CZB) in all parts of the text and in the figures.\nWe added this sentence at line 70, now 79:\nThis inhibitor, already been proved to impact LoVo spheroids morphology [26,27],']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Crizotinib has been proved to impact LoVo spheroids morphology."",""source_id"":[4]}]}",in vitro,"[0, 5, 7]","['To evaluate the potential of the new approach, the device and analytical models were applied to a clinically relevant in vitro model, LoVo spheroids, where the effects of CZB treatment on the biophysical parameters were studied. The same characteristics', 'Three-dimensional (3D) culture systems are widely recognized as an in vitro model with a close resemblance to solid tumors in vivo. Tumor spheroids derive from the self-organization of cancer cells into 3D tumor-like spherical structures; such tissue', 'A new method for the study of biophysical and morphological parameters in 3D cell cultures: Evaluation in LoVo spheroids treated with crizotinib']","{""fieldresult"":[{""name"":""Type of study"",""value"":""in vitro"",""source_id"":[0,5,7]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",34101765,"{""enhanced_ver"":""Crizotinib has been proved to impact LoVo spheroids morphology (in vitro)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly states the observed effect."",""The sentence is about the effectiveness of Crizotinib on LoVo spheroids, which are a model for Colorectal cancer."",""The sentence is specific enough for experts, mentioning the study type and the observed effect."",""The sentence offers actionable insights for practicing oncologists by highlighting the preclinical effect of Crizotinib on a relevant model."",""The study type is in vitro, which is assigned a priority level of 3.""]}",,999,97,-1,1,1,1,3,2790
"Crizotinib blocked the HGF/STAT3/SOX13/c-MET axis, significantly inhibiting SOX13-mediated CRC migration, invasion, and metastasis.",[1],"['shown to be a direct target of HGF/STAT3 signaling, and the c-MET inhibitor crizotinib blocked the HGF/STAT3/SOX13/c-MET axis, significantly inhibiting SOX13-mediated CRC migration, invasion and metastasis. Moreover, in clinical CRC tissues, SOX13']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Crizotinib blocked the HGF/STAT3/SOX13/c-MET axis, significantly inhibiting SOX13-mediated CRC migration, invasion, and metastasis."",""source_id"":[1]}]}",clinical trial,[7],"['was significantly correlated with more aggressive clinicopathological features of CRC and indicated poor prognosis in two independent cohorts of CRC patients (cohort I, nâ\x80\x89=â\x80\x89363; cohort II, nâ\x80\x89=â\x80\x89390). Overexpression of SOX13-promoted CRC migration,']","{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[7]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",32111984,"{""enhanced_ver"":""Crizotinib blocked the HGF/STAT3/SOX13/c-MET axis, significantly inhibiting SOX13-mediated CRC migration, invasion, and metastasis (clinical trial)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not comment on the lack of effectiveness; it describes the observed effectiveness of crizotinib."",""The sentence is specifically about the effectiveness of crizotinib on colorectal cancer."",""The sentence is specific enough for experts, detailing the molecular mechanism and effect of crizotinib."",""The sentence offers actionable insights for oncologists by highlighting crizotinib's preclinical inhibition of CRC progression."",""The study type is in vitro or in vivo, which corresponds to priority level 3.""]}","{""id"":19,""decision"":""YES"",""reasoning"":""Result 19 provides a detailed molecular mechanism (HGF/STAT3/SOX13/c-MET axis) and clinical trial evidence, which is highly actionable for targeted therapy.""}",7,171,-1,1,1,1,3,2961
Crizotinib effectively sensitizes cetuximab-resistant KRAS mutant colorectal cancer cell lines to radiation.,[0],['HGF induced cell migration. CONCLUSIONS: Inhibition of c-Met with crizotinib effectively sensitizes cetuximab-resistant KRAS mutant colorectal cancer cell lines to radiation. Crizotinib has the potential to improve outcomes in locally advanced rectal'],"{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Crizotinib effectively sensitizes cetuximab-resistant KRAS mutant colorectal cancer cell lines to radiation."",""source_id"":[0]}]}",in vivo,[0],"['containing colorectal tumors was used to study the relationship between KRAS mutations and c-Met expression. For in vivo studies, we used the KRAS mutant cell lines HCT116, DLD1, and LoVo. Colony formation assays were performed to assess the effects of']","{""fieldresult"":[{""name"":""Type of study"",""value"":""in vivo"",""source_id"":[0]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",30412912,"{""enhanced_ver"":""Crizotinib effectively sensitizes cetuximab-resistant KRAS mutant colorectal cancer cell lines to radiation (in vivo)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly states the observed effectiveness."",""The sentence is specifically about the effectiveness of Crizotinib on colorectal cancer, not another condition."",""The sentence is specific enough for experts, mentioning the study type and the observed effect on KRAS mutant colorectal cancer cell lines."",""The sentence offers actionable insight for oncologists by suggesting crizotinib may improve outcomes in locally advanced rectal cancer, even though it is preclinical."",""The study type is in vivo, which corresponds to priority level 3.""]}",,999,141,-1,1,1,1,3,3102
"Crizotinib is mentioned as a drug in the context of P:R fusion-positive CRC, but no specific effectiveness outcome is described.",[0],"['for P:R fusion and involved in multiple cancer pathways were considered to have a key role in P:R fusion-positive CRC. Based on the drug-target network analysis, crizotinib, alectinib, lorlatinib, brigatinib, ceritinib, erdafitinib, infigratinib and']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Crizotinib is mentioned as a drug in the context of P:R fusion-positive CRC, but no specific effectiveness outcome is described."",""source_id"":[0]}]}",in vitro and in vivo,"[0, 2]","['cancer. Both in vitro experiments in human-colon cancer cell line HT-29 and in vivo experiments in CRISPR-based xenograft mice provided the evidence that RSPO3 fusion gene was involved in the initiation and development of CRC via activating WNT signaling.', 'The WNT signaling pathway is an important mediator in tissue homeostasis and recovery while it acts an important role in tumor-development of colorectal cancer. Both in vitro experiments in human-colon cancer cell line HT-29 and in vivo experiments in']","{""fieldresult"":[{""name"":""Type of study"",""value"":""in vitro and in vivo"",""source_id"":[0,2]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",36129915,"{""enhanced_ver"":""Crizotinib is mentioned as a drug in the context of P:R fusion-positive CRC, but no specific effectiveness outcome is described (in vitro and in vivo)."",""evaluations"":[""YES"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence is a meta comment on how the effectiveness was not described in the text."",""The sentence is about the effectiveness of Crizotinib on Colorectal cancer."",""The sentence is specific enough for experts, mentioning the study type and context."",""The sentence offers actionable insights for practicing oncologists by highlighting the preclinical context of Crizotinib in CRC."",""The study type is in vitro and in vivo, which corresponds to priority level 3.""]}",,999,174,1,1,1,1,3,4802
"Crizotinib was one of the targeted drugs used in the treatment of CRC patients, but the specific effectiveness of crizotinib is not mentioned in the report.",[3],"['brain, adrenal gland, lymph nodes and ovary. Two patients had mutations in NRAS, seven others had mutated KRAS gene. Patients were treated by aflibercept, bevacizumab, bortezomib, cabozantinib, cetuximab, crizotinib, denosumab, panitumumab and regorafenib']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Crizotinib was one of the targeted drugs used in the treatment of CRC patients, but the specific effectiveness of crizotinib is not mentioned in the report."",""source_id"":[3]}]}",clinical trial,"[0, 2]","['The study was conducted according to the guidelines of the Declaration of Helsinki, and approved by the Ethics Committee of Vitamed Clinic, Moscow, protocol date 16.10.17.OR. Informed written consents to participate were obtained from all subjects', 'clinical, transcriptomic, and genetic data) were collected from the patients or their legal representatives. The consent procedure and the design of the study were approved by the ethical committee of Vitamed Clinic, Moscow, protocol date 16.10.17. Tumor']","{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[0,2]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",36316649,"{""enhanced_ver"":""Crizotinib was one of the targeted drugs used in the treatment of CRC patients, but the specific effectiveness of crizotinib is not mentioned in the text (clinical trial)."",""evaluations"":[""YES"",""YES"",""YES"",""NO"",""1""],""rationale"":[""The sentence is a meta comment on how the effectiveness was not described in the text."",""The sentence is about the effectiveness of Crizotinib on Colorectal cancer."",""The sentence is specific enough for experts, mentioning the study type."",""The sentence does not offer actionable insights for practicing oncologists as the effectiveness is not described."",""The study type is a clinical trial with a number of patients greater than 1, which is level 1.""]}",,999,194,1,1,1,-1,1,4628
Combination binimetinib/crizotinib showed poor tolerability with no objective responses observed in RASMT advanced CRC patients.,[2],['Conclusions\nCombination binimetinib/crizotinib showed a poor tolerability with no objective responses observed in RASMT advanced CRC patients.'],"{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Combination binimetinib/crizotinib showed poor tolerability with no objective responses observed in RASMT advanced CRC patients."",""source_id"":[2]}]}",clinical trial,[2],"['Methods\nStudy design and treatments\nThe MErCuRIC study was an open-label, single arm phase I trial, conducted in 8 European centres (ClinicalTrials.gov number: NCT02510001).']","{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[2]}]}",36 patients with advanced RASMT CRC were included in the study.,[8],['A total of 20 eligible patients with advanced solid tumours were included in the dose escalation phase Ia. Patientsâ\x80\x99 characteristics are summarized in TableÂ\xa01. CRC was the most common (60%) solid tumour type. Thirty-six patients with advanced RASMT CRC'],"{""fieldresult"":[{""name"":""Num participants"",""value"":""36 patients with advanced RASMT CRC were included in the study."",""source_id"":[8]}]}",40211189,"{""enhanced_ver"":""Combination binimetinib/crizotinib showed poor tolerability with no objective responses observed in RASMT advanced CRC patients (clinical trial; 36 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not describe the effectiveness as being absent from the text; it explicitly states no objective responses were observed."",""The sentence is specifically about the effectiveness of Crizotinib on Colorectal cancer, not another condition."",""The sentence is specific enough for experts, mentioning the observed lack of response and the study type and number of patients."",""The sentence provides actionable insight for oncologists regarding the poor tolerability and lack of response in a specific patient population."",""The study is a clinical trial with more than one patient, which is level 1.""]}","{""id"":2,""decision"":""YES"",""reasoning"":""Result 2 highlights the poor tolerability of a combination therapy, which is critical for oncologists to consider when evaluating treatment options for RAS-mutated CRC patients.""}",1,181,-1,1,1,1,1,434
Crizotinib restored cetuximab sensitivity in CRC cell lines and is considered a promising therapeutic agent for CRCs with high IRG risk scores.,"[0, 1, 2]","['CRC culture system, Li et al. found that crizotinib restored cetuximab sensitivity in the HCA-7 CRC cell line. By inhibiting c-MET/RON/ALK/MTH1, S-crizotinib is an optical isomer of a clinical anticancer compound, R-crizotinib, with inhibited efficacy in', 'B and S-crizotinib, which held true in vitro and in silico evidence, were deemed the most promising therapeutic agents for CRCs with high IRG risk scores.', 'Crizotinib is an extensively functioning, small-molecule TKI clinically approved for treating non-small-cell lung cancer (NSCLC) patients. In a three-dimensional CRC culture system, Li et al. found that crizotinib restored cetuximab sensitivity in the']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Crizotinib restored cetuximab sensitivity in CRC cell lines and is considered a promising therapeutic agent for CRCs with high IRG risk scores."",""source_id"":[0,1,2]}]}","in vitro, in vivo, and clinical trial","[1, 3, 4]","['growth in vitro, and its activity was in close interaction with the expression level of FGFR. In our study, the infiltration of fibroblasts was apparently higher in high-risk score CRCs, compellingly argue for clinical investigations of AZD4547 for', 'reported to exert anti-tumor activities in in-vitro and in-vivo mouse xenografts. RC-3940-II also exerted potent anti-neoplastic activity on the human CRC cell lines both in vitro and in vivo. Li et al. pointed out that GRP could predict the prognosis of', 'cell lines both in vitro and in vivo. Li et al. pointed out that GRP could predict the prognosis of DFS in CRC, uncovering its involvement in the prognosis and survival of CRC. Bedke et al. demonstrated that GRP and GRPR were mainly expressed by TAMs in']","{""fieldresult"":[{""name"":""Type of study"",""value"":""in vitro, in vivo, and clinical trial"",""source_id"":[1,3,4]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",34898475,"{""enhanced_ver"":""Crizotinib restored cetuximab sensitivity in CRC cell lines and is considered a promising therapeutic agent for CRCs with high IRG risk scores (in vitro)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not comment on how the effectiveness was not described in the text."",""The sentence is specifically about the effectiveness of Crizotinib on Colorectal cancer."",""The sentence is specific enough for experts, mentioning the study type and the observed effect."",""The sentence offers actionable insights for practicing oncologists, suggesting Crizotinib as a potential therapeutic agent for CRCs with high IRG risk scores."",""The study type is in vitro, which corresponds to priority level 3.""]}",,999,177,-1,1,1,1,3,3279
Crizotinib exhibits moderate cytotoxicity against human epithelial colorectal adenocarcinoma Caco-2 cell line.,[2],"['As might be expected, the Regorafenib, Crizotinib and Cabozantinib exhibit high, moderate and low cytotoxicities, respectively. In addition, the Regorafenib is determined to have a potent p38Î±-inhibitory activity. This is basically in line with the test']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Crizotinib exhibits moderate cytotoxicity against human epithelial colorectal adenocarcinoma Caco-2 cell line."",""source_id"":[2]}]}",in vitro,[1],['and Crizotinib are selected to test their cytotoxic effects on human epithelial colorectal adenocarcinoma Caco-2 cell line and inhibition activity against the recombinant protein of human p38Î± kinase domain. The obtained results are compared with two'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""in vitro"",""source_id"":[1]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",29803964,"{""enhanced_ver"":""Crizotinib exhibits moderate cytotoxicity against human epithelial colorectal adenocarcinoma Caco-2 cell line (in vitro)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly states the observed moderate cytotoxicity."",""The sentence is specifically about Crizotinib's effectiveness on colorectal cancer, not another condition."",""The sentence is specific enough for experts, mentioning the cell line and study type."",""The sentence provides preclinical insight into Crizotinib's cytotoxicity, which may be relevant for oncologists considering future research or drug development."",""The study type is in vitro, which corresponds to priority level 3.""]}",,999,144,-1,1,1,1,3,3423
Crizotinib selectively inhibited the growth of ARID1A-deficient CRC cells in vitro and in xenograft tumor models.,"[1, 2, 3]","['as well as two other FDA-approved drugs, crizotinib and cabozantinib, selectively inhibited the growth of ARID1A-deficient CRC cells in vitro and in xenograft tumor models. Mechanistically, we identified a tripartite functional association among ARID1A,', 'Moreover, two FDA-approved c-MET inhibitors, crizotinib, and cabozantinib, also showed synthetic lethality in ARID1A-KO HCT116 clones (Fig.Â\xa01E, F). These results suggest that c-MET is a potential synthetic lethal target for ARID1A in CRC cells.', 'lethality in ARID1A-deficient CRC. Notably, FDA-approved c-MET inhibitors, such as crizotinib and cabozantinib, have demonstrated enhanced cytotoxicity in ARID1A-deficient cancers, facilitating the translation of these approved drugs for repurposing in']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Crizotinib selectively inhibited the growth of ARID1A-deficient CRC cells in vitro and in xenograft tumor models."",""source_id"":[1,2,3]}]}",in vitro and in vivo,"[1, 2, 3]","['on this idea, we conducted a whole-kinase inhibitor library screen to identify synthetic lethal kinases for ARID1A loss in CRC cells. Here, we showed that c-MET inhibition induces selective vulnerability in ARID1A-deficient CRC cells in vitro and in vivo.', 'that ARID1A-deficient CRC tumors are highly vulnerable to c-MET kinase inhibitor treatment in vitro and in vivo.', 'inhibition induces selective vulnerability in ARID1A-deficient CRC cells in vitro and in vivo. We further explored the mechanism by which ARID1A loss and c-MET inhibition synergistically inactivate the expression of the antioxidant enzyme GPX4 by']","{""fieldresult"":[{""name"":""Type of study"",""value"":""in vitro and in vivo"",""source_id"":[1,2,3]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",40369167,"{""enhanced_ver"":""Crizotinib selectively inhibited the growth of ARID1A-deficient CRC cells (in vitro and in vivo)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly reports the observed effectiveness."",""The sentence is specifically about the effectiveness of Crizotinib on Colorectal cancer, not another condition."",""The sentence is specific enough for experts, mentioning the study type and the mechanism of action."",""The sentence offers actionable insights for practicing oncologists by highlighting the potential of repurposing FDA-approved drugs for ARID1A-deficient CRC."",""The study type is in vitro and in vivo, which corresponds to priority level 3.""]}",,999,120,-1,1,1,1,3,3543
"Crizotinib-treated patients achieve high response rates, with an excellent toxicity profile.",[0],"['with Crizotinib, an orally available dual ALK/MET inhibitor, currently approved for advanced ALK-positive NSCLCs. Crizotinib-treated patients achieve high response rates, with an excellent toxicity profile. However, drug-resistant disease often develops,']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Crizotinib-treated patients achieve high response rates, with an excellent toxicity profile."",""source_id"":[0]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Type of study"",""value"":""NP"",""source_id"":[]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",26468446,"{""enhanced_ver"":""Crizotinib-treated patients achieve high response rates, with an excellent toxicity profile (clinical trial; 35 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not comment on the lack of effectiveness description; it directly describes the effectiveness."",""The sentence is about Crizotinib's effectiveness in Colorectal cancer, not another condition."",""The sentence is specific enough for experts, mentioning study type and number of patients."",""The sentence offers actionable insights for oncologists regarding Crizotinib's use in Colorectal cancer."",""The study type is a clinical trial with more than one patient, which is level 1.""]}",,999,145,-1,1,1,1,1,579
"Crizotinib, when combined with cetuximab or panitumumab, significantly reduces colony number and inhibits tumor growth in colorectal cancer (CRC) 3D cultures and xenografts.","[0, 6, 8]","['These data indicate that the cetuximab/crizotinib combination provides a significant inhibitory effect in vivo in CRC xenografts.', 'of cetuximab resistance in CC-CR cells could be overcome by addition of crizotinib. Cetuximab or crizotinib alone were unable to significantly reduce colony number in CC-CR 3D cultures; the combination, however, markedly inhibited CC-CR colony growth', 'nude mice and treated them with cetuximab and crizotinib combinations for three weeks, monitoring subcutaneous tumor growth during this interval. We found that the cetuximab/crizotinib combination could inhibit SC subcutaneous xenograft growth, which']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Crizotinib, when combined with cetuximab or panitumumab, significantly reduces colony number and inhibits tumor growth in colorectal cancer (CRC) 3D cultures and xenografts."",""source_id"":[0,6,8]}]}",in vitro and in vivo,"[1, 7, 9]","['Statement of implication: Using in vitro 3D CRC cultures and in vivo CRC xenografts, we show that parallel inhibition of multiple RTKs with small molecule inhibitors overcomes de novo and acquired resistance to EGFR-directed therapies in CRC.\nINTRODUCTION', 'identify key regulatory determinants where one inhibition strategy is preferable over the other. In summary, we conclude that parallel inhibition strategy of multiple RTKs overcomes resistance to EGFR-directed therapeutics in CRC in vitro and in vivo.', 'These data indicate that the cetuximab/crizotinib combination provides a significant inhibitory effect in vivo in CRC xenografts.']","{""fieldresult"":[{""name"":""Type of study"",""value"":""in vitro and in vivo"",""source_id"":[1,7,9]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",30863492,"{""enhanced_ver"":""Crizotinib, when combined with cetuximab or panitumumab, significantly reduces colony number and inhibits tumor growth in colorectal cancer (in vitro and in vivo)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence directly describes the observed effectiveness of crizotinib in colorectal cancer and does not make a meta-comment on its lack of description."",""The sentence specifically discusses the effectiveness of crizotinib on colorectal cancer, not another condition."",""The sentence is detailed enough for experts, including the mechanism and study type."",""The sentence provides actionable insight for oncologists about combining crizotinib with EGFR inhibitors in preclinical models."",""The study type is in vitro and in vivo, which corresponds to priority level 3.""]}","{""id"":24,""decision"":""YES"",""reasoning"":""Result 24 provides in vitro and in vivo evidence of crizotinib combined with cetuximab, which is actionable for combination therapy strategies.""}",8,186,-1,1,1,1,3,3729
The inhibition of c-Met by crizotinib reduced ERK activation and Oct4 expression and suppressed CSC properties.,[0],"['The inhibition of c-Met by crizotinib reduced ERK activation and Oct4 expression and suppressed CSC properties. CONCLUSION: c-Met and PrPC interact with each other, and targeting c-Met using crizotinib could be a powerful strategy for CRC therapy.']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""The inhibition of c-Met by crizotinib reduced ERK activation and Oct4 expression and suppressed CSC properties."",""source_id"":[0]}]}",In vitro and in vivo study on colorectal cancer cells,"[3, 4, 6]","['PrPC Regulates the Cancer Stem Cell Properties via Interaction With c-Met in Colorectal Cancer Cells.', 'and sphere formation of colorectal cancer (CRC) cells were investigated. RESULTS: We demonstrated the increased expression and binding levels of c-Met and PrPC in CRC cells compared to normal colon epithelial cells. We revealed that the c-Met and PrPC', 'The inhibition of c-Met by crizotinib reduced ERK activation and Oct4 expression and suppressed CSC properties. CONCLUSION: c-Met and PrPC interact with each other, and targeting c-Met using crizotinib could be a powerful strategy for CRC therapy.']","{""fieldresult"":[{""name"":""Type of study"",""value"":""In vitro and in vivo study on colorectal cancer cells"",""source_id"":[3,4,6]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",34230141,"{""enhanced_ver"":""The inhibition of c-Met by crizotinib reduced ERK activation and Oct4 expression and suppressed CSC properties (in vitro and in vivo study)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly describes the observed effectiveness."",""The sentence is specifically about the effectiveness of crizotinib on colorectal cancer."",""The sentence is specific enough for experts, detailing the molecular mechanisms and outcomes."",""The sentence offers actionable insights for oncologists regarding targeting c-Met in CRC, even though it is preclinical."",""The study type is in vitro and in vivo, which corresponds to priority level 3.""]}",,999,163,-1,1,1,1,3,3892
